_ORGANIZATION_ENTITY_URN,FIVETRAN_SYNCED,FOLLOWER_COUNTS_ORGANIC_FOLLOWER_COUNT,FOLLOWER_COUNTS_PAID_FOLLOWER_COUNT
urn:li:organization:25736,2023-04-04,7,0
urn:li:organizationBrand:25736,2023-04-04,7,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:10043,2023-04-04,13,0
urn:li:organizationBrand:28978119,2023-04-04,1,0
urn:li:organization:37930,2023-04-04,3,0
urn:li:organizationBrand:28978119,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,22,0
urn:li:organization:37930,2023-04-04,3,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:18124695,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,7,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organizationBrand:25736,2023-04-04,7,0
urn:li:organizationBrand:28978119,2023-04-04,3,0
urn:li:organizationBrand:28978119,2023-04-04,1,0
urn:li:organization:18124695,2023-04-04,2,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:37930,2023-04-04,3,0
urn:li:organizationBrand:28978119,2023-04-04,1,0
urn:li:organizationBrand:25736,2023-04-04,55,0
urn:li:organizationBrand:28978119,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,33,0
urn:li:organization:10043,2023-04-04,46,0
urn:li:organization:37930,2023-04-04,757,0
urn:li:organizationBrand:25736,2023-04-04,410,0
urn:li:organization:18124695,2023-04-04,20,0
urn:li:organization:18124695,2023-04-04,64,0
urn:li:organization:25736,2023-04-04,11,0
urn:li:organizationBrand:28981048,2023-04-04,3,0
urn:li:organization:25736,2023-04-04,28,0
urn:li:organization:25736,2023-04-04,25,0
urn:li:organization:18124695,2023-04-04,1,0
urn:li:organization:37930,2023-04-04,27,0
urn:li:organizationBrand:28978119,2023-04-04,4,0
urn:li:organizationBrand:25736,2023-04-04,2660,0
urn:li:organizationBrand:25736,2023-04-04,71,0
urn:li:organizationBrand:28978119,2023-04-04,18,0
urn:li:organization:37930,2023-04-04,3,0
urn:li:organization:25736,2023-04-04,149,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organization:10043,2023-04-04,273,0
urn:li:organization:18124695,2023-04-04,527,0
