_SHARE_ENTITY_URN,_ORGANIZATION_ENTITY_URN,ENGAGEMENT,SHARE_COUNT,CLICK_COUNT,LIKE_COUNT,IMPRESSION_COUNT,COMMENT_COUNT,_FIVETRAN_ID,_FIVETRAN_SYNCED
urn:li:share:6970741752949354496,urn:li:organization:265920,0.05825242718,0,4,17,309,0,DhhH0bjyVZa7FVmmA5MLP0jpUHE=,2023-08-31
urn:li:ugcPost:7102334360560824320,urn:li:organization:52118064,0.08899297424,0,34,4,427,0,j1EdpMitsuErxcsS23WIzkFCTBA=,2023-08-31
urn:li:share:6970849318303936512,urn:li:organization:52118064,0.03169014085,1,8,18,852,0,lyAsXAYNN1uvENWHJ8gUIHjhzLA=,2023-08-31
urn:li:share:6971098497143951360,urn:li:organization:54114735,0.1634877384,2,89,26,734,3,soaC3dxTlSr6DorbeF/L5mWhRrY=,2023-09-01
urn:li:ugcPost:6971465703375699968,urn:li:organization:265920,0.03389830508,0,7,8,413,0,OHrekd+sXwZDwCHdxj27QrHEF2E=,2023-09-02
urn:li:share:6971486416790843392,urn:li:organization:3309638,0.06931608133,1,48,27,1082,0,JXUibrJwU+tPO6AmDkaY9sKqxQQ=,2023-09-02
urn:li:share:6972588755786293249,urn:li:organization:265920,0.1168582375,0,97,27,1044,0,5/Gqp8FjvzmwObRWYjzd6oQIpow=,2023-09-05
urn:li:share:6973310595899043842,urn:li:organization:54114735,0.05882352941,5,7,10,374,0,E+vmLAmRxLbiXUze+qw7PAADxk0=,2023-09-07
urn:li:share:6973368510278246400,urn:li:organization:52118064,0.0340063762,0,23,10,941,0,LLIQ7kmxD3Qeyhv8syFqeOAlZSA=,2023-09-07
urn:li:share:6974765180131942400,urn:li:organization:54114735,0.06267806268,4,11,29,702,0,0j/2w31kd32/GYWjllKMbDX4Cd0=,2023-09-12
urn:li:share:6975074039631355904,urn:li:organization:265920,0.046566077,2,66,110,3844,4,dwzFpw5KUOznzLLOtGMTHJyJHhs=,2023-09-12
urn:li:share:6975185217686827008,urn:li:organization:265920,0.07558139535,0,16,11,344,0,EgY3DK78JTFA4TrCKsuX+508+gI=,2023-09-12
urn:li:share:7107380284710412288,urn:li:organization:265920,0.006849315068,0,0,1,146,0,Wwf9t8IUwN8hBKRjubo0GOMIA0Y=,2023-09-13
urn:li:ugcPost:6975475712874962946,urn:li:organization:54114735,0.06826347305,4,25,27,835,2,l1q1xWh4XyW0bxrv691dLXdlVX8=,2023-09-13
urn:li:ugcPost:6976147855887458304,urn:li:organization:54114735,0.02907711757,4,8,11,791,0,FKV2fCyzf++/mtELbHj3t39SLdo=,2023-09-15
urn:li:share:7108451040936525824,urn:li:organization:52118064,0.1168831169,0,12,6,154,0,jf9FrEsizP6Qu6bnF6/k1/IK9p0=,2023-09-16
urn:li:share:7108408826902503425,urn:li:organization:3309638,0.05607476636,0,4,2,107,0,F+5A7OChHPMvMpEBj2gXsv03eY0=,2023-09-16
urn:li:share:7108161272168271873,urn:li:organization:3309638,0.1062801932,0,1,21,207,0,zHOdaINug/fCvNZ2ZE2aDtt0BNU=,2023-09-16
urn:li:share:7108148705186222081,urn:li:organization:52118064,0.1992263056,0,67,35,517,1,4JZUC8NhjSP7KKQoqNIyVhiTEu8=,2023-09-16
urn:li:ugcPost:7108077618402361345,urn:li:organization:265920,0.1751412429,0,23,32,354,7,PmA+SmOM5bDLqiz4+5c9UObdJg0=,2023-09-16
urn:li:share:7107815543432232960,urn:li:organization:265920,0.02325581395,0,1,3,172,0,/lCNYYft4kf+d3ASs/e1nZ0cyWE=,2023-09-16
urn:li:ugcPost:7107788280368164864,urn:li:organization:52118064,0.06644518272,0,16,4,301,0,0MjuwjvupxG5j3V3o6aXGod3lw4=,2023-09-16
urn:li:share:7107694998350962688,urn:li:organization:52118064,0.08657243816,2,19,28,566,0,bwWF3p4UrqyIUIeaGFQLFNkmBSk=,2023-09-16
urn:li:share:7105913754248237056,urn:li:organization:52118064,0.04297520661,0,5,20,605,0,/o/VSLi0Lmd2F8Z0QK5EMKZzLgM=,2023-09-16
urn:li:share:7105173263852457985,urn:li:organization:52118064,0.1277728483,0,111,33,1127,0,fJw2XJJ2dqa7joBEBKE5V18LpfI=,2023-09-16
urn:li:share:7104459127560564736,urn:li:organization:265920,0.03412969283,0,3,7,293,0,AEfo1kZIj6H7yk8ZpyZgwzh35AQ=,2023-09-16
urn:li:ugcPost:7103518442959372288,urn:li:organization:265920,0.04722222222,0,8,9,360,0,qz86HIRZakXGbhQW0eEaaIs8UDg=,2023-09-16
urn:li:share:7103376967369990144,urn:li:organization:52118064,0.02674897119,0,6,7,486,0,SAJBo/BOqQxjpwhKw+PRPGrAc6s=,2023-09-16
urn:li:share:7102636572868558848,urn:li:organization:52118064,0.07091561939,1,33,44,1114,2,8N9gzLFVQ5da8Eb6ow8sN70e3lo=,2023-09-16
urn:li:share:7101987328365133824,urn:li:organization:52118064,0.1050185874,0,70,42,1076,1,xBhbyHDV64Sz5J1G8oPoFd1PtIo=,2023-09-16
urn:li:share:7065310870020493312,urn:li:organization:52118064,0,0,0,1,0,0,oE7sa17lUa8c24iAzDU9NyfgJYI=,2023-09-16
urn:li:ugcPost:7101352746036957184,urn:li:organization:52118064,0.6519337017,0,1453,79,2353,2,SDLymSq7EQjxzYcryyLq881uU8E=,2023-09-16
urn:li:ugcPost:7100839874408169472,urn:li:organization:52118064,0.1145833333,1,81,39,1056,0,IbSjEdNrXqQUC17wDDuClpqdSE4=,2023-09-16
urn:li:share:7099439769536921600,urn:li:organization:265920,0.007633587786,0,0,1,131,0,DWGMJnAONyY3cJmniuIDMqZ9PRA=,2023-09-16
urn:li:ugcPost:7080231852652834816,urn:li:organization:265920,0.04081632653,0,35,1,882,0,MOQu1wB7LbmA/ut73UiLBQUOXNo=,2023-09-16
urn:li:share:7098649906675908608,urn:li:organization:265920,0.07159353349,0,13,18,433,0,FBHzxrwDJrQ5C3OiANovk54Bh54=,2023-09-16
urn:li:share:7098303012837724160,urn:li:organization:52118064,0.1729274611,1,183,81,1544,3,jzh4Hm5E/zX+UUp+Qlp6B1XEMbw=,2023-09-16
urn:li:ugcPost:7098046101496233985,urn:li:organization:265920,0.0843373494,0,7,21,332,0,VlJeHtI2PJAol7Fr/xkYP1RWnW8=,2023-09-16
urn:li:share:7096883304095739905,urn:li:organization:265920,0.0350877193,0,1,1,57,0,Vf8GlE8+A/IYxSRRcPcTd3ovjyM=,2023-09-16
urn:li:share:7095080290749992960,urn:li:organization:265920,0.03137254902,0,3,5,255,0,q55pN/VwVe1OR++OrsFgj1VhDxo=,2023-09-16
urn:li:share:7094328719502180353,urn:li:organization:265920,0.05429071804,0,15,16,571,0,a8Cp2pQcVkOxMwdmZZqjkUKCuCQ=,2023-09-16
urn:li:share:7093218971755163649,urn:li:organization:265920,0.05498721228,1,17,26,782,0,MREwbc38a62Sh8jt521JyUXDezM=,2023-09-16
urn:li:ugcPost:7091922673261236224,urn:li:organization:265920,0.5690168818,0,541,32,1007,0,Ohx8vaN9mu915/KWXW4EAiMOdgs=,2023-09-16
urn:li:share:7090308041752854528,urn:li:organization:265920,0.08968058968,0,42,30,814,1,EqmViA9gifQsMQoUZhwQ+1NeYDk=,2023-09-16
urn:li:share:7088510961896013824,urn:li:organization:265920,0.04525862069,0,10,10,464,1,GkOd1Gj675xvCXzEhUgxQYr6F+c=,2023-09-16
urn:li:ugcPost:7088141027940659200,urn:li:organization:265920,0.1754966887,2,82,22,604,0,YCh1NLoAhlInWtfv2Dt9Fv8oW/s=,2023-09-16
urn:li:ugcPost:7087430680317423616,urn:li:organization:265920,0.06676342525,0,16,30,689,0,+C6M1LOZRekALIR7MD53LB50N5M=,2023-09-16
urn:li:share:7085663614866464769,urn:li:organization:265920,0.07142857143,0,33,32,910,0,bIgg5LDgwYc6ag1gbDjQZ5cHA4I=,2023-09-16
urn:li:ugcPost:7078001737273356288,urn:li:organization:265920,0.3479576399,1,419,40,1322,0,wmJCyi3PSgXGfuaKcfGx8yHkwdU=,2023-09-16
urn:li:ugcPost:7077314720768126976,urn:li:organization:265920,0.3359298929,0,323,22,1027,0,ghzszgdyGHq+T+rJ5rIFk+oVvzU=,2023-09-16
urn:li:share:6999357245301936128,urn:li:organization:265920,0.1067615658,0,105,47,1405,0,D47xOR/8YUyKczYVl1g68fzg09k=,2023-09-16
urn:li:share:6977799696702394368,urn:li:organization:265920,0.3836012862,2,1098,86,3110,6,JmbS/5ChWoDXSv4igYXO5B+jwjM=,2023-09-16
urn:li:share:7031290082821079040,urn:li:organization:265920,0.2194492255,0,221,34,1162,0,WZT2RF4ekuScuwu+bnnNneLk5w0=,2023-09-16
urn:li:share:6986829984157904896,urn:li:organization:265920,0.1057108141,1,58,29,823,1,uqLYzG0xX0PKoOR5y0Nvt0yOozY=,2023-09-16
urn:li:share:6995762186539196416,urn:li:organization:265920,0.1379310345,0,62,15,551,0,gINv90fuYefQO4O8n34Cq2JV3xA=,2023-09-16
urn:li:share:7009617750339833856,urn:li:organization:265920,1.01515827,0,2228,49,2243,0,GHyT0mcBA43mil+Jw1e+I9FvUWs=,2023-09-16
urn:li:share:7084977041946636288,urn:li:organization:265920,0.08976660682,1,288,159,5013,2,ScCLX2skKiAXuehM1ee0NCYGt3A=,2023-09-16
urn:li:share:7084305411868094464,urn:li:organization:265920,0.126807564,0,86,28,899,0,klM7rESpUilORzWpHzs7debTD14=,2023-09-16
urn:li:share:7081987308542910464,urn:li:organization:265920,0.03110047847,0,6,7,418,0,cM5Oqe+tt7PC2e6WJ1fMUlT6lMA=,2023-09-16
urn:li:share:7081659057194852353,urn:li:organization:265920,0.1161780673,1,74,31,921,1,YFGNpl8MSYB4nWKQidb8uvLHko0=,2023-09-16
urn:li:share:7079081105936527360,urn:li:organization:265920,0.1022267206,1,77,23,988,0,ERbgzJxEl0I9Rz/DwBdFwWfQ0wY=,2023-09-16
urn:li:share:7072931448407654400,urn:li:organization:265920,0.08742714405,1,67,37,1201,0,tXKjzwA+a/bm7wdqN0M6l/b0uMI=,2023-09-16
urn:li:share:7010670196059234304,urn:li:organization:265920,0.8,0,0,0,10,0,A/NB09rrzoO7AsVJ+KzH7r5FtlM=,2023-09-16
urn:li:share:6998283717534248963,urn:li:organization:265920,0.05,0,8,14,400,0,LpPdHW1B1ZnbNSIRIclKf4TQeug=,2023-09-16
urn:li:share:6985643161964421121,urn:li:organization:265920,0.1028368794,0,214,105,3102,6,a7PcJwmxh8DNEEbmMXU+cQ+x/JQ=,2023-09-16
urn:li:share:7059978438144659456,urn:li:organization:265920,0.06557377049,0,40,39,1220,0,qhhCpJu6U18uPLQaqCB00e+E+YI=,2023-09-16
urn:li:share:6991850347543629825,urn:li:organization:265920,0.05504587156,1,12,6,327,0,V/OI1rpkEGJrw5dMbs5bLA0GCy0=,2023-09-16
urn:li:share:6995037225168121856,urn:li:organization:265920,0.02325581395,0,3,4,258,0,GAYEYw5SSiyxVjZe9URTDePzIFk=,2023-09-16
urn:li:share:7071833363111677952,urn:li:organization:265920,0.02846054334,0,9,13,773,0,gwpd+9HrsyXoOzTzao12alO9IqY=,2023-09-16
urn:li:share:7010669249023139841,urn:li:organization:265920,1.5,0,0,0,4,0,X8n50ccmhoDrw4yuli2yXgkcW6Q=,2023-09-16
urn:li:share:7009309888895991808,urn:li:organization:265920,0.06737588652,0,28,26,846,4,WAzINedhuCbGcxo/ODUu66NQR3Y=,2023-09-16
urn:li:share:6980151085344710656,urn:li:organization:265920,0.07341706591,3,372,170,7723,22,WzwJ1Ja0axHxQ99xonw46kuZVq8=,2023-09-16
urn:li:share:7001566815726292992,urn:li:organization:265920,0.03424657534,0,3,8,292,0,52sEHcc9ikc7KCNMc8xAqr8D5YE=,2023-09-16
